PatternCode,Age_AVG,Age_STDEV,Total,Gender_Mp,Gender_Fp,Gender_M,Gender_F,NeuroICU,CardiacICU,MedICU,MedSurgICU,TransplantICU,NonICU
1012,61.36,17.23,25,0.68,0.32,17,8,2,12,0,7,1,3
1013,62,12.7,34,0.735,0.265,25,9,2,9,0,15,5,3
1014,61.62,17.44,34,0.588,0.412,20,14,4,11,0,14,2,3
1016,64.03,15.35,70,0.571,0.429,40,30,8,27,0,30,2,4
1017,63.27,13.08,11,0.818,0.182,9,2,0,6,0,4,1,0
1018,57.8,13.41,20,0.75,0.25,15,5,2,10,0,6,0,2
1019,62.64,13.69,14,0.643,0.357,9,5,0,7,0,6,1,0
1020,58,16.89,16,0.438,0.563,7,9,4,1,0,6,2,3
1021,59.35,15.59,20,0.75,0.25,15,5,1,4,0,9,4,2
1022,59.42,15.15,33,0.545,0.455,18,15,2,10,0,17,1,3
1023,60.35,15.93,23,0.652,0.348,15,8,0,11,0,11,0,1
1024,56.87,19.33,31,0.548,0.452,17,14,4,12,0,7,2,6
1025,55.87,15.09,15,0.733,0.267,11,4,1,3,0,6,3,2
1026,58,15.15,33,0.636,0.364,21,12,2,6,0,23,1,1
1027,64.14,14.1,50,0.66,0.34,33,17,6,18,0,18,5,3
1028,60.81,18.29,16,0.625,0.375,10,6,1,6,0,9,0,0
1029,60.25,15.7,24,0.708,0.292,17,7,1,10,0,8,2,3
1031,59.05,15.22,19,0.579,0.421,11,8,1,9,0,6,0,3
1032,70.1,7.26,10,0.6,0.4,6,4,0,4,0,5,0,1
1034,59.4,16.52,45,0.644,0.356,29,16,2,13,0,20,5,5
1035,61.48,15.34,40,0.625,0.375,25,15,4,17,0,14,2,3
1036,67.09,14.09,33,0.636,0.364,21,12,1,11,0,17,2,2
1037,61.63,15.58,49,0.571,0.429,28,21,3,22,0,24,0,1
1039,68.45,15.55,22,0.727,0.273,16,6,3,7,0,8,3,1
1040,66,11.41,9,0.889,0.111,8,1,0,4,0,3,1,1
1041,68.43,13.73,28,0.679,0.321,19,9,1,10,0,13,1,3
1042,60.42,15.2,31,0.548,0.452,17,14,1,12,0,18,0,0
1043,56,16.05,13,0.923,0.077,12,1,0,4,0,7,1,1
1044,62.82,14.76,38,0.658,0.342,25,13,3,15,0,15,1,4
1045,66.43,11.22,23,0.609,0.391,14,9,0,8,0,14,0,1
1046,58.48,19.81,21,0.619,0.381,13,8,2,7,0,9,0,3
1047,61.46,16.14,50,0.58,0.42,29,21,3,18,0,21,2,6
1049,62.11,17.79,28,0.786,0.214,22,6,3,10,0,15,0,0
1050,56.93,18.44,28,0.714,0.286,20,8,1,8,0,16,2,1
1053,59.7,16.89,10,1,0,10,0,0,4,0,4,1,1
1055,66.98,10.55,40,0.55,0.45,22,18,3,14,0,19,3,1
1056,60.76,15.72,25,0.56,0.44,14,11,3,7,0,13,1,1
1062,56.24,14.7,25,0.72,0.28,18,7,0,11,0,11,2,1
1063,57.09,16.32,23,0.783,0.217,18,5,0,6,0,12,3,2
1064,60.59,15.12,29,0.655,0.345,19,10,0,16,0,12,1,0
1065,57.47,15.26,17,0.647,0.353,11,6,2,9,0,5,1,0
1067,59.94,14.29,32,0.563,0.438,18,14,3,11,0,17,1,0
1068,60.55,18.12,11,0.909,0.091,10,1,2,4,0,5,0,0
1069,58.47,14.56,34,0.588,0.412,20,14,2,10,0,15,2,5
1070,66.39,14.4,23,0.696,0.304,16,7,4,13,0,5,0,1
1071,61.29,14.88,34,0.735,0.265,25,9,4,11,0,16,1,2
1072,60.96,15.06,24,0.708,0.292,17,7,0,10,0,11,1,2
1074,58.96,17.48,69,0.638,0.362,44,25,6,25,0,30,2,6
1075,62.65,14.81,17,0.765,0.235,13,4,0,5,0,8,1,3
1077,64.27,17.27,26,0.808,0.192,21,5,5,13,0,8,0,0
1078,61.31,13.19,39,0.538,0.462,21,18,3,10,0,19,2,5
1079,65.46,17.44,13,0.692,0.308,9,4,3,4,0,4,0,2
1080,64.36,13.38,25,0.6,0.4,15,10,3,11,0,11,0,0
1081,61.58,14.8,67,0.612,0.388,41,26,7,23,0,38,0,0
1082,59.96,18.09,45,0.578,0.422,26,19,7,14,0,16,6,2
1083,57.76,18.34,55,0.545,0.455,30,25,3,20,0,26,2,4
1085,62.76,16.49,29,0.655,0.345,19,10,1,11,0,15,1,1
1087,65.31,15.65,29,0.655,0.345,19,10,4,8,0,17,0,0
1088,62.29,16.95,14,0.714,0.286,10,4,0,3,0,10,1,0
1089,61.1,18.59,29,0.483,0.517,14,15,6,10,0,8,2,3
1091,65.22,11.76,23,0.696,0.304,16,7,2,9,0,10,0,2
1092,58.86,13.96,14,0.786,0.214,11,3,2,2,0,8,1,1
1094,65.71,14.71,17,0.706,0.294,12,5,0,8,0,6,2,1
1095,66.03,13.16,33,0.455,0.545,15,18,2,11,0,14,2,4
1096,60.85,15.07,26,0.731,0.269,19,7,3,11,0,12,0,0
1097,59.91,17.04,43,0.651,0.349,28,15,4,11,0,25,2,1
1098,63.61,15.37,31,0.806,0.194,25,6,2,14,0,8,4,3
1099,60.5,19.23,14,0.714,0.286,10,4,1,4,0,5,2,2
1100,66.56,8.65,9,0.667,0.333,6,3,0,5,0,4,0,0
1101,57.88,13.83,33,0.606,0.394,20,13,1,8,0,18,3,3
1102,61.4,19.43,15,0.733,0.267,11,4,2,5,0,5,0,3
1103,59.65,20.18,20,0.7,0.3,14,6,4,7,0,8,0,1
1104,60.4,13.6,30,0.633,0.367,19,11,0,10,0,13,3,4
1105,63,13.48,24,0.708,0.292,17,7,1,12,0,7,2,2
1106,64.48,16.59,31,0.677,0.323,21,10,3,9,0,14,4,1
1107,64.83,14,18,0.722,0.278,13,5,1,9,0,8,0,0
1109,67.25,16.18,28,0.714,0.286,20,8,4,9,0,13,0,2
1110,64.55,13.1,29,0.621,0.379,18,11,3,7,0,18,0,1
1111,63.91,13.59,22,0.591,0.409,13,9,0,11,0,9,1,1
1112,65.11,18.27,9,0.444,0.556,4,5,0,4,0,5,0,0
1113,51.08,18.91,13,0.692,0.308,9,4,0,4,0,8,0,1
1115,56.17,16.49,29,0.586,0.414,17,12,2,10,0,13,1,3
1116,65.59,14.95,29,0.552,0.448,16,13,0,11,0,17,0,1
1117,63.59,16.17,46,0.63,0.37,29,17,4,23,0,20,0,0
1120,57.66,16.21,29,0.552,0.448,16,13,1,7,0,18,2,1
1121,56.6,16.06,10,0.6,0.4,6,4,1,3,0,5,1,0
1122,59.29,15.19,24,0.708,0.292,17,7,1,11,0,10,1,1
1123,62.38,12.14,8,1,0,8,0,0,2,0,4,1,1
1124,60.6,16.27,25,0.6,0.4,15,10,0,14,0,11,0,0
1125,62.53,15.57,34,0.647,0.353,22,12,2,14,0,18,0,0
1126,55,16.09,16,0.688,0.313,11,5,1,7,0,8,0,0
1127,61.1,14.43,21,0.619,0.381,13,8,1,5,0,14,0,1
1128,59.78,15.03,18,0.722,0.278,13,5,0,6,0,11,1,0
